ab	Abkhaz	"Abkhaz, Abkhazian, Abxazo"
rop	Kriol	"Australian Kriol, Kriol"
sco	Scots	"Lowland Scots, Scots"
sh	Serbo-Croatian	"BCS, Croato-Serbian, Serbo-Croatian, Serbocroatian; Bosnian, Croatian, Montenegrin, Serbian"
si	Sinhalese	"Singhalese, Sinhala, Sinhalese"
sk	Slovak	"Slovak, Slovakian"
sl	Slovene	"Slovene, Slovenian"
snq	Chango	"Chango, Sangu"
spp	Supyire	"Suppire, Supyire, Supyire Senoufo"
sqt	Soqotri	"Socotri, Soqotri"
srs	Sarcee	"Sarcee, Sarsi, Tsuu T'ina, Tsuut'ina, Tsu T'ina"
ss	Swati	"Swati, Swazi"
st	Sotho	"Sesotho, Sotho, Southern Sesotho, Southern Sotho"
sth	Shelta	"Cant, Shelta"
tcs	Torres Strait Creole	"Big Thap, Blaikman, Brokan, Broken, Broken English, Cape York Creole, Lockhart Creole, Papuan Pidgin English, Torres Strait Brokan, Torres Strait Broken, Torres Strait Creole, Torres Strait Pidgin, Yumplatok"
tg	Tajik	"Tadjik, Tadzhik, Tajik, Tajiki, Tajik Persian"
tmh	Tamashek	"Tamahaq, Tamajaq, Tamasheq, Tamashek, Tuareg"
tn	Tswana	"Setswana, Tswana"
tnq	Taino	"Taino, Taíno"
tob	Toba	"Chaco Sur, Namqom, Qom, Toba, Toba Qom"
tog	Chitonga	"Kitonga, Siska, Sisya, Tonga, Western Nyasa"
toi	Tonga	"Chitonga, Plateau Tonga, Tonga, Zambezi"
tpi	Tok Pisin	"Melanesian Pidgin English, Neo-Melanesian, New Guinea Pidgin, Tok Pisin"
ug	Uyghur	"Uigur, Uighur, Uygur, Uyghur"
uln	Unserdeutsch	"Rabaul Creole German, Unserdeutsch"
umb	Umbundu	"South Mbundu, Umbundu"
vai	Vai	"Gallinas, Vai, Vy"
waq	Wageman	"Wageman, Wagiman, Wakiman, Wogeman"
xaa	Andalusian Arabic	"Andalusian Arabic, Andalusi Arabic, Moorish Arabic, Spanish Arabic"
xcl	Old Armenian	"Classical Armenian, Liturgical Armenian, Old Armenian, Grabar"
yue	Cantonese	"Cantonese, Yue, Yüeh"
yun	Bena	"Bena, Binna, Buna, Ebina, Ebuna, Gbinna, Lala (offensive) , Purra, Yangeru, Yongor, Yungur"
